Name,Category,Subcategory,URL,Description,Image
Music Timelines,Audio,Visualisation,https://music-timeline.appspot.com,"Explore music genres, discover new bands",http://tomsmith.webfactional.com/notes/Music_Timeline_229FF898.png
The Happy Forecast,Visualisation,Wellbeing,https://ggia.berkeley.edu/,Thinking of moving to London. This is an interesting visualisation to explore.,http://tomsmith.webfactional.com/notes/Happy_Forecast_🔊_229FF9BD.png
The Black Bar,Writing,,http://mrgan.com/blackbar/,A game about censorship. Makes you think about words,http://tomsmith.webfactional.com/notes/Blackbar_-_a_game_of_text__from_Neven_Mrgan___James_Moore_22A024BC.png
Brainsparker,Ideation,Prompt,https://brainsparker.com/card-picker-starter-pack/,A bit like Oblique Strategies.,http://tomsmith.webfactional.com/notes/brainsparker_app___pick_a_creativity_card_from_our_starter_pack_22A025F0.png
Create Your Own Zine,Zine,Writing,https://creativemarket.com/blog/how-to-make-a-zine,,http://tomsmith.webfactional.com/notes/How_to_Make_a_Zine__Fonts__Graphics___Templates_to_Get_You_Started___Creative_Market_Blog_22A0265C.png
Music Roamer,Audio,Music,http://www.musicroamer.com,Explore music genres.,http://tomsmith.webfactional.com/notes/Musicroamer_-_Discover_New_Music_22A05294.png
Ambient Artists List,Audio,Ambient,http://bit.ly/exploreambience,"Explore a pick of ambient artists, including my fave, Nurse With Wound",http://tomsmith.webfactional.com/notes/8_of_the_best_ambient_artists__past_and_modern_🔊_22A056A9.png
Poetry Sound Library,Writing,Maps,https://poetrysoundlibrary.weebly.com/,Poets reading their work,http://tomsmith.webfactional.com/notes/POETRY_SOUND_LIBRARY_-_POETRY_SOUND_LIBRARY_MAP_22A55EBF.png
When Did They Live,History,Visualisation,https://ybogdanov.github.io/history-timeline/,,http://tomsmith.webfactional.com/notes/Map_of_Contemporaries_22A56019.png
Royal Constellations,History,Visualisation,http://www.datasketch.es/october/code/nadieh/,How the european royal families are connected,http://tomsmith.webfactional.com/notes/Royal_Constellations_22A56053.png
Pantheon,Visualisation,History,http://pantheon.media.mit.edu/treemap/country_exports/GB/all/-4000/2010/H15/pantheon,What professions does each country produce,http://tomsmith.webfactional.com/notes/Pantheon_-_Visualizations_22A560EF.png
Whale Songs,Audio,Visualisation,https://patternradio.withgoogle.com/,Beautiful,http://tomsmith.webfactional.com/notes/Pattern_Radio__Whale_Songs_🔊_22A82F7A.png
Inspiring.online,Fun,Toy,https://inspiring.online/,Huge list of amazing things online,http://tomsmith.webfactional.com/notes/Inspiring_Online_22AAD942.png
Listen To Wikipedia Updates,Sonification,Audio,http://listen.hatnote.com/,Visualisation of sorts that updates when Wikipedia edits are made,http://tomsmith.webfactional.com/notes/Hatnote_Listen_to_Wikipedia_🔊_22AAD9D9.png
The Next Rembrandt,Story,Writing,https://www.nextrembrandt.com,Incredible visualisation of sorts of Rembrandt's work,http://tomsmith.webfactional.com/notes/The_Next_Rembrandt_22AADD03.png
Apollo in Real Time,Space,Science,https://apolloinrealtime.org/11/,,http://tomsmith.webfactional.com/notes/Apollo_11_in_Real-time_22BEA2FE.png
Please Enjoy,Art,Design,https://pleaseenjoy.com/,All sorts of interesting projects. Go be inspired,http://tomsmith.webfactional.com/notes/PERSONAL_PROJECTS_22BEAA07.png
Partisan Thesaurus,Writing,Toy,http://partisanthesaurus.com/,It depends on which reference you use.,http://tomsmith.webfactional.com/notes/Partisan_Thesaurus_22BEAB3C.png
Georgio Cam,Toy,AI,https://experiments.withgoogle.com/giorgio-cam,"Make music from your webcam image, oh yeah.",https://experiments.withgoogle.com/giorgio-cam
Where Does The Day Go?,Toy,Visualisation,https://neal.fun/where-does-the-day-go/,Where does it all go?,http://tomsmith.webfactional.com/notes/Where_does_the_day_go__22C77962.png
Ten Years Ago,History,Web,http://www.tenyearsago.io/,What did these sites look like?,http://tomsmith.webfactional.com/notes/Ten_Years_Ago_22C77DCF.png
Dear Data,Visualisation,Data,http://www.stefanieposavec.com/,"...whose creative practice ranges from book design, information design, data visualisation, and commissioned artworks using data.",http://tomsmith.webfactional.com/notes/Stefanie_Posavec_22CB8548.png
Web Trigrams,Visualisation,Writing,http://www.chrisharrison.net/index.php/Visualizations/WebTrigrams,"What words, follow which words...",http://tomsmith.webfactional.com/notes/Chris_Harrison___WebTrigrams_22CBC0CE.png
Jazz Computer,Audio,Toy,http://jazz.computer/,Strange scrolling music piece,http://tomsmith.webfactional.com/notes/Jazz_Computer_🔊_22D4B1C8.png
