Name,Category,Subcategory,URL,Description,Image,Ability,My Ranking
PixelSynth,Audio,Toy,https://ojack.github.io/PIXELSYNTH/ ,Image into audio,http://tomsmith.webfactional.com/notes/_____PIXELSYNTH______🔊_2289AF20.png,,
Online Sequencer,Audio,Midi,https://onlinesequencer.net/,Work with midi files online,http://tomsmith.webfactional.com/notes/Online_Sequencer___Pokemon_Gold_Version_Pokemon_Silver_Version_-_Battle_Trainer_BattleJohto_Version_mid___532455__2289AF4F.png,,
Patatap,Audio,Toy,https://www.patatap.com/,Type an music and visuals just happen. ,http://tomsmith.webfactional.com/notes/patatap_-_Google_Search_2289AF99.png,,
Typatone,Audio,Toy,https://typatone.com/,Type and your words become notes,http://tomsmith.webfactional.com/notes/Typatone_🔊_2289AFD9.png,,
WebcamToy,Image,Toy,https://webcamtoy.com/,Turns your webcam into an effects booth.,http://tomsmith.webfactional.com/notes/Webcam_Toy_2289B001.png,,
NeonDrawing,Image,Toy,https://29a.ch/sandbox/2011/neonflames/#,Neon drawing. A bit slow.,http://tomsmith.webfactional.com/notes/Neonflames_-_29a_ch_2289B091.png,,
Glitch2,Image,Glitch,http://akx.github.io/glitch2/,Create GIFs and strange effects,http://tomsmith.webfactional.com/notes/glitchgif-1560260807831.gif,,
MyOats,Image,Toy,https://www.myoats.com/create.aspx?,Draw kaleidoscopes,http://tomsmith.webfactional.com/notes/Myoats_-_Create_Something__2289B105.png,,
Witeboard,Diagram,Editing,https://witeboard.com,"A nice ""infinite"" whiteboarding tool",http://tomsmith.webfactional.com/notes/Witeboard_and_TwistedWave_Online_Audio_Editor_2289B13B.png,,
VideoScribe,Video,Generation,https://www.videoscribe.co/en/,"Build ""hand drawn"" animations",http://tomsmith.webfactional.com/notes/VideoScribe_-_Home_2289B15F.png,,
Prezi,Presentation,Editing,https://prezi.com/,Zooming presentations,http://tomsmith.webfactional.com/notes/Presentation_Software___Online_Presentation_Tools___Prezi_2289B186.png,,
Landscape,Image,Generation,https://sproutsocial.com/landscape,Image resizing for social media,http://tomsmith.webfactional.com/notes/Social_Media_Image_Resizing_Tool___Landscape_by_Sprout_Social_2289B1A6.png,,
Adobe Spark,Story,Editing,https://spark.adobe.com/sp/design/page/new,Create beautiful web pages.,http://tomsmith.webfactional.com/notes/Make_Images__Videos_and_Web_Stories_for_Free_in_Minutes___Adobe_Spark_22A0288E.png,,
Adobe Spark Video,Video,Editing,https://spark.adobe.com/about/video,Quickly create fun videos,http://tomsmith.webfactional.com/notes/Free_Mobile_and_Online_Video_Maker__Adobe_Spark_Video_2289B20A.png,,
